dialogue_id,speaker,sentence,classification_typenot-word-found,date-found,figure (number) found,sentiment-type,sentiment-score
0,CHAIRMAN FRIEDMAN,"thank you, everyone, and good morning again.",Normal,False,False,False,Positive,3
1,CHAIRMAN FRIEDMAN,we have a couple of announcements.,Normal,False,False,False,Neutral,2
2,CHAIRMAN FRIEDMAN,"you have received those, and those're in you's kits: a review of labor membership on fprac, and director berry's response to the letter director berry 's received from the new jersey congressional delegation.",Task Assigned,False,False,False,Negative,1
3,CHAIRMAN FRIEDMAN,"unless there are any questions or discussion about either of those items, we'll move on.",Task Assigned,False,False,False,Negative,1
4,CHAIRMAN FRIEDMAN,is there anything on either of those?.,Interrogative-affirmation,False,False,False,Neutral,2
5,CHAIRMAN FRIEDMAN,okay.,Normal,False,False,False,Positive,3
6,CHAIRMAN FRIEDMAN,"the minutes of the last meeting, chairman friedman know we got those out rather late to people this time.",Task Assigned,False,False,False,Negative,1
7,CHAIRMAN FRIEDMAN,"if it is your's preference, we can defer approval of the transcript until the next meeting.",Task Assigned,False,False,False,Negative,1
8,MR. SHULMAN,please.,Normal,False,False,False,Positive,3
9,CHAIRMAN FRIEDMAN,okay.,Normal,False,False,False,Positive,3
10,CHAIRMAN FRIEDMAN,why don't we just do we since we were so late.,Normal,False,False,False,Negative,1
11,CHAIRMAN FRIEDMAN,it was vacations.,Normal,False,False,False,Neutral,2
12,CHAIRMAN FRIEDMAN,chairman friedman won't bore you with the details.,Normal,False,False,False,Negative,1
13,CHAIRMAN FRIEDMAN,"we'll make sure it doesn't happen again, anyway.",Normal,False,False,False,Negative,1
14,CHAIRMAN FRIEDMAN,"bringing up then old business, first item is review of lee county, virginia, and there's a couple of new business items that bear on virginia, so why don't we hold off, chairman friedman suggest, until we get to the new business section.",Normal,False,False,False,Verynegative,0
15,CHAIRMAN FRIEDMAN,"the work group, chairman friedman wonder if we can get the work group off the agenda for now.",Task Assigned,False,False,False,Negative,1
16,CHAIRMAN FRIEDMAN,that's the in-abeyance work group that we're going to revisit.,Task Assigned,False,False,False,Neutral,2
17,CHAIRMAN FRIEDMAN,there's really nothing new on that.,Normal,False,False,False,Negative,1
18,CHAIRMAN FRIEDMAN,"on the -lrb-c-rrb- item, special wage schedule pay practice for army corps of engineers lock and dam fws employees, barbara, do you have anything new to report on dam fws employees?.",Interrogative-affirmation,False,False,False,Negative,1
19,CHAIRMAN FRIEDMAN,"you mentioned the last time, you might have some information that bears on the last time, not to put you on the spot.",Normal,True,False,False,Negative,1
20,MS. WALKER,"well, we did provide the study to the corps of engineers, and they've given ms.",Task Assigned,False,False,False,Positive,3
20,MS. WALKER,"walker a heads-up on what they would like to see happen, just they would like to remain status quo.",Task Assigned,False,False,False,Negative,1
21,MS. WALKER,there is no real justification for why we would change it at this point.,Task Assigned,True,False,False,Negative,1
22,MS. WALKER,there's not enough information to really tell which employees it is that they're talking about.,Task Assigned,True,False,False,Negative,1
23,MS. WALKER,"there's a lot of different lock and dam employees, and a lot of a lot of different lock and dam employees would be based on what position descriptions different lock and dam employees are in.",Task Assigned,False,False,False,Negative,1
24,MS. WALKER,do they typically travel?.,Interrogative-affirmation,False,False,False,Neutral,2
25,MS. WALKER,is that a part of their's regular reoccurring duties to travel to different sites and locations to do repair work and operations work?.,Interrogative-unknown,False,False,False,Positive,3
26,MS. WALKER,are they on a tdy when they do that?.,Interrogative-when,False,False,False,Neutral,2
27,MS. WALKER,"it is not a permanent duty assignment, ms.",Normal,True,False,False,Negative,1
27,MS. WALKER,"walker would think, but we need a little more information about which specific positions they're talking about.",Task Assigned,False,False,False,Neutral,2
28,CHAIRMAN FRIEDMAN,"well, the request came in originally pertaining to northwest arkansas, chairman friedman believe, but chairman friedman guess the request does have broader implications.",Task Assigned,False,False,False,Negative,1
29,CHAIRMAN FRIEDMAN,is there any other discussion on this one at this point?.,Interrogative-affirmation,False,False,False,Neutral,2
30,CHAIRMAN FRIEDMAN,"chairman friedman think at some point, we're going to have to focus on some point, but chairman friedman guess some point will not be this morning, unless people have more on this right now.",Normal,True,False,False,Negative,1
31,CHAIRMAN FRIEDMAN,that brings up item -lrb-d-rrb-.,Normal,False,False,False,Neutral,2
32,CHAIRMAN FRIEDMAN,"we have also agreed to have a conversation in the work group about that one, the south bend-mishawaka msa as part of a broader conversation about how wage areas are defined.",Normal,False,False,False,Neutral,2
33,CHAIRMAN FRIEDMAN,"then we now come to -lrb-e-rrb-, the management proposal to abolish montgomery, pennsylvania, a nonappropriated fund wage area, to which there was a labor counter-proposal last time, and management folks said management folks needed more time to consider last time.",Normal,False,False,False,Verynegative,0
34,CHAIRMAN FRIEDMAN,"should we review the specifics, or is there any response at this point from management?.",Interrogative-affirmation,False,False,False,Negative,1
35,MR. ALLEN,mr.,Normal,False,False,False,Neutral,2
35,MR. ALLEN,"chairman, mr.",Normal,False,False,False,Neutral,2
35,MR. ALLEN,"allen think we need to decide on this, this one at this meeting today, because there is a wage survey that's scheduled for august, which is not such a big deal, as long as we have a recommendation from the committee on what to do with the employees, because there is currently no capability of conducting a local wage survey in that wage area.",Normal,True,True,False,Negative,1
36,MR. ALLEN,mr.,Normal,False,False,False,Neutral,2
36,MR. ALLEN,"allen believe what the suggestion was from a member from nage at the last meeting was to move chester county, pennsylvania, into the burlington wage area.",Task Assigned,False,False,False,Negative,1
37,MR. ALLEN,"we went back and looked at the regulatory criteria analysis that the department of defense had done through the dod wage committee, and we really don't see any way that we could at opm justify issuing a regulation to define chester county to the burlington wage area.",Normal,False,False,False,Verynegative,0
38,MR. ALLEN,"when we look at the regulatory criteria, the first criterion is distance, and chester county is almost twice as far away at least from the point we do the measurement from, from burlington county as the measurement is from harford county.",Normal,False,False,False,Negative,1
39,MR. ALLEN,mr.,Normal,False,False,False,Neutral,2
39,MR. ALLEN,"allen also took a closer look at other wage areas surrounding, and the york wage area would actually be closer than the burlington wage area.",Task Assigned,False,False,False,Negative,1
40,MR. ALLEN,"when i looked at the commuting patterns, commuting out of chester county is actually less than a quarter of a percent to any of the surrounding naf survey areas, so that to i is really a nonfactor.",Task Assigned,False,False,False,Negative,1
41,MR. ALLEN,so mr.,Normal,False,False,False,Neutral,2
41,MR. ALLEN,"allen think what we're really looking at is proximity, and mr.",Task Assigned,False,False,False,Negative,1
41,MR. ALLEN,allen think we really do need to stick with the concept that proximity is really what drives the need to define areas of application for nonappropriated fund wage areas.,Task Assigned,False,False,False,Negative,1
42,MR. ALLEN,"they're a little bit different than how we define the appropriated fund areas, because we have to define every county to the appropriated fund system, and the law was written a little differently for how nonappropriated fund wage areas are to be defined.",Task Assigned,False,False,False,Negative,1
43,MR. ALLEN,that's about all that have on that one.,Normal,False,False,False,Neutral,2
44,CHAIRMAN FRIEDMAN,"just so chairman friedman understand, you're basically sticking with you's original proposal and not agreeing to the suggested change proposed by labor?.",Interrogative-affirmation,True,False,False,Negative,1
45,MR. ALLEN,we've taken a careful look at a careful look.,Normal,False,False,False,Neutral,2
46,MR. ALLEN,we really don't see how we could justify.,Normal,False,False,False,Negative,1
47,CHAIRMAN FRIEDMAN,any discussion?.,Interrogative-affirmation,False,False,False,Neutral,2
48,CHAIRMAN FRIEDMAN,are there any questions?.,Interrogative-affirmation,False,False,False,Neutral,2
49,MR. ELDER,mr.,Normal,False,False,False,Neutral,2
49,MR. ELDER,elder do have a question.,Normal,False,False,False,Neutral,2
50,MR. ELDER,at what point do you use to measure the proximity?.,Interrogative-what,False,False,False,Neutral,2
51,MR. ELDER,how do you measure that from burlington county to chester county?.,Interrogative-unknown,False,False,False,Neutral,2
52,MR. ALLEN,"it's measured from the location where the main employment location is, so it's measured from coatesville, pennsylvania, which is in chester county.",Task Assigned,False,False,False,Negative,1
53,MR. ALLEN,that's the location of the va medical center that's there.,Normal,False,False,False,Neutral,2
54,MR. ALLEN,"if you look at a map, what you actually see is philadelphia, the city and the suburbs of philadelphia, east of coatesville, and then there's a lot of rural area west of coatesville.",Task Assigned,False,False,False,Negative,1
55,MR. ELDER,"so, mr.",Normal,False,False,False,Neutral,2
55,MR. ELDER,"elder mean, it would seem, given what was proposed, the proposal was to move philadelphia and montgomery county into burlington and retain new castle in the burlington area.",Task Assigned,False,False,False,Negative,1
56,MR. ELDER,"it would seem, just from looking at the map, chester county is at least as close to burlington as new castle.",Task Assigned,False,False,False,Negative,1
57,MR. ELDER,"so it doesn't make sense to define chester into a county to the west, to the southwest, with a smaller population than defining a county to the west into the larger population and larger area containing philadelphia and burlington.",Normal,False,False,False,Negative,1
58,MR. ELDER,it would seem to mr.,Normal,False,False,False,Neutral,2
58,MR. ELDER,elder this particular area should be defined into burlington.,Normal,False,False,False,Negative,1
59,MR. ELDER,mr.,Normal,False,False,False,Neutral,2
59,MR. ELDER,"elder mean, if you're putting philadelphia into this wage area, philadelphia would seem to shift the center of the burlington wage area, the center of their's employment, west toward chester county, whereas before the center of the burlington wage area , the center of their employment might have been further east in burlington county.",Suggestion,False,False,False,Negative,1
60,CHAIRMAN FRIEDMAN,what page is the map that you're referring to?.,Interrogative-what,False,False,False,Neutral,2
61,MR. ELDER,it's a part of 564-mgt-3.,Normal,False,True,True,Neutral,2
62,MR. ELDER,it's one of the last pages.,Normal,False,False,False,Neutral,2
63,MR. ELDER,the one mr.,Normal,False,False,False,Neutral,2
63,MR. ELDER,"elder'm looking at says current regulations, but there's another map in there as well closer to the front.",Task Assigned,False,False,False,Neutral,2
64,MR. ELDER,mr.,Normal,False,False,False,Neutral,2
64,MR. ELDER,"elder think it's enclosure 1, the proposed regulation, it shows the proposed distribution of the counties.",Task Assigned,False,True,True,Negative,1
65,MR. ALLEN,okay.,Normal,False,False,False,Positive,3
66,MR. ALLEN,"what the management proposal does is the management proposal looks at each county in the current montgomery wage area, and the management proposal looks at the opm regulatory criteria generally.",Task Assigned,False,False,False,Negative,1
67,MR. ALLEN,"the first criterion looked at is proximity, and mr.",Normal,False,False,False,Positive,3
67,MR. ALLEN,allen think the committee has agreed the committee's the primary criterion to look at.,Task Assigned,False,False,False,Neutral,2
68,MR. ALLEN,"the other criteria are actually kind of indeterminate, and the primary reason that the management proposal recommends moving chester county to the harford wage area is proximity from the location where the employees work at the va medical center in chester county to the host installation for the harford wage area, which is aberdeen proving ground.",Normal,False,False,False,Negative,1
69,MR. ELDER,right.,Normal,False,False,False,Positive,3
70,MR. ELDER,mr.,Normal,False,False,False,Neutral,2
70,MR. ELDER,"elder mean, that still doesn't address the point that mr.",Normal,False,False,False,Negative,1
70,MR. ELDER,"elder made just a moment ago that philadelphia should really be considered more of the center now, given the new boundaries of this wage area.",Task Assigned,False,False,False,Positive,3
71,MR. ELDER,"it should really be considered the center for the definition of the burlington area, and burlington would move burlington closer to chester county and move a larger number of employees, mr.",Normal,False,False,False,Positive,3
71,MR. ELDER,"elder'm sure, than are in the harford area.",Normal,False,False,False,Neutral,2
72,MR. ELDER,so that would further weight the distribution toward moving chester into the burlington wage area.,Task Assigned,False,False,False,Negative,1
73,MR. ALLEN,"actually, what would happen is the city of philadelphia would not be surveyed any longer, because there would be too few nonappropriated fund employees there to support a separate wage survey.",Task Assigned,True,False,False,Negative,1
74,MR. ALLEN,"the center of that wage area actually shifts over to burlington county, which is why the distances are measured from what would be each area of application county to the closest survey area, which is the reason why we're recommending that chester county be part of the harford wage area.",Normal,False,False,False,Negative,1
75,MR. ALLEN,"when we look at distance, mr.",Normal,False,False,False,Neutral,2
75,MR. ALLEN,"allen think it's something like 48 miles to harford county and 78 miles to burlington, so it's sort of skipping over philadelphia because the labor market in philadelphia for nonappropriated fund employment and the way that the wage schedule is determined, is actually no longer relevant to how pay is set in that wage area.",Normal,True,True,True,Negative,1
76,MR. ELDER,"philadelphia seems like an awfully strange place to just skip over, but for these purposes -- but what about new castle county?.",Interrogative-what,False,False,False,Negative,1
77,MR. ELDER,that is also in the burlington area.,Normal,False,False,False,Neutral,2
78,MR. ELDER,how do you justify leaving chester out while leaving new castle in the burlington area?.,Interrogative-unknown,False,False,False,Neutral,2
79,MR. ALLEN,there was a review of new castle county some years ago.,Normal,False,False,False,Neutral,2
80,MR. ALLEN,mr.,Normal,False,False,False,Neutral,2
80,MR. ALLEN,"allen'm not sure exactly when, but there was a recommendation from the committee to have it as part of the burlington wage area, probably again based on distance primarily.",Task Assigned,True,False,False,Negative,1
81,MR. ELDER,parts of new castle seem to be further from the center of burlington than chester.,Normal,False,False,False,Negative,1
82,MR. ELDER,that's mr.,Normal,False,False,False,Neutral,2
82,MR. ELDER,elder's main concern there.,Normal,False,False,False,Neutral,2
83,MR. ALLEN,"what we have been seeing with nonappropriated fund wage areas is that there have been multiple abolishments of wage areas over the years as bases have closed, so i can't really claim that every county that's currently defined, if you look at it on the map, that it makes absolute sense if you're looking at patterns with these things, but there was a rationale at some point for fprac to recommend that opm define the counties in a certain way.",Suggestion,False,False,False,Verynegative,0
84,MR. ELDER,mr.,Normal,False,False,False,Neutral,2
84,MR. ELDER,elder'm sure there was a rationale.,Normal,False,False,False,Negative,1
85,MR. ELDER,it just depends on whether or not we think it makes sense.,Normal,True,False,False,Negative,1
86,MR. ELDER,mr.,Normal,False,False,False,Neutral,2
86,MR. ELDER,elder appreciate that.,Normal,False,False,False,Neutral,2
87,MR. ELDER,thank you.,Normal,False,False,False,Positive,3
88,MR. ELDER,"thank you, mark.",Normal,False,True,False,Positive,3
89,MR. ELDER,mr.,Normal,False,False,False,Neutral,2
89,MR. ELDER,elder can see that you're not going to change you's opinion.,Task Assigned,True,False,False,Negative,1
90,MR. ELDER,"our's recommendation to keep chester county in the burlington area, to put chester county in the burlington area does stand, though.",Task Assigned,False,False,False,Negative,1
91,CHAIRMAN FRIEDMAN,"since there is obviously not consensus on this one, do you want to make a motion, have a vote?.",Interrogative-affirmation,True,False,False,Negative,1
92,MR. ALLEN,we would like to caucus.,Normal,False,False,False,Neutral,2
93,CHAIRMAN FRIEDMAN,okay.,Normal,False,False,False,Positive,3
94,CHAIRMAN FRIEDMAN,chairman friedman believe we have the small pendleton room available for caucuses.,Task Assigned,False,False,False,Negative,1
95,CHAIRMAN FRIEDMAN,we are back in session.,Normal,False,False,False,Neutral,2
96,CHAIRMAN FRIEDMAN,"mark, is there anything you want to report from you's caucus?.",Interrogative-affirmation,False,False,False,Negative,1
97,MR. ALLEN,"yes, mr.",Normal,False,False,False,Neutral,2
97,MR. ALLEN,chairman.,Normal,False,False,False,Neutral,2
98,MR. ALLEN,we discussed this pretty much in depth.,Normal,False,False,False,Positive,3
99,MR. ALLEN,we're of the same opinion as stated in the management proposal.,Normal,False,False,False,Neutral,2
100,MR. ALLEN,just taking a look at the regulation here for 532.,Normal,False,True,True,Neutral,2
100,MR. ALLEN,"219 -lrb-c-rrb--lrb-1-rrb-, which is what drives how opm defines nonappropriated fund wage areas, a look at the regulation here for 532.",Task Assigned,False,True,True,Verynegative,0
100,MR. ALLEN,"219 -lrb- c -rrb- -lrb- 1 -rrb- , which is what drives how opm defines nonappropriated fund wage areas says, two or more counties may be combined to constitute a single wage area through consideration of.",Normal,False,True,True,Negative,1
101,MR. ALLEN,mr.,Normal,False,False,False,Neutral,2
101,MR. ALLEN,allen think we need some additional justification why we should change that practice at this point.,Task Assigned,False,False,False,Negative,1
102,MR. ELDER,"well, mr.",Normal,False,False,False,Positive,3
102,MR. ELDER,"elder wouldn't say you need additional justification; however, mr.",Task Assigned,False,False,False,Negative,1
102,MR. ELDER,"elder have been told there is a precedent, if you're looking for additional justification, mr.",Task Assigned,False,False,False,Neutral,2
102,MR. ELDER,elder guess.,Normal,False,False,False,Neutral,2
103,MR. ELDER,"that would be a precedent for moving entire nonappropriated fund areas from one when dissolving things, as in we're dissolving one here, for moving the entire wage area from one area into another, into a new area, which would justify moving bucks, montgomery, philadelphia, chester, and luzerne over into the burlington area.",Normal,False,True,False,Negative,1
104,MS. SIMON,"mark, isn't that true?.",Interrogative-unknown,False,False,False,Negative,1
105,MS. SIMON,isn't there also precedent for retaining the cluster of counties within a single wage area?.,Interrogative-affirmation,False,False,False,Negative,1
106,MR. ALLEN,mr.,Normal,False,False,False,Neutral,2
106,MR. ALLEN,allen think that's true.,Normal,False,False,False,Neutral,2
107,MR. ALLEN,mr.,Normal,False,False,False,Neutral,2
107,MR. ALLEN,"allen would have to go back and look to see what precedent-setting cases there might have been in the past, but the past would take us time to do the past.",Task Assigned,False,False,False,Negative,1
108,MS. SIMON,"well, ms.",Normal,False,False,False,Positive,3
108,MS. SIMON,"simon think it's important, because a lot of that time when we have these questions that could go one way or another, we cite precedent on what we've done in the past, and there are operational reasons for wanting to retain the cluster as-is and not break another up and send another off in different directions.",Normal,True,False,False,Negative,1
109,MS. SIMON,"and we think it makes the most sense, certainly, in this situation.",Task Assigned,False,False,False,Neutral,2
110,MS. SIMON,you look at a map.,Normal,False,False,False,Neutral,2
111,MS. SIMON,"there may be, depending again on the points of departure you use for you's measurement, a few miles here or there, but the fact of the matter is this isn't a cohesive metropolitan area, and we think that both the precedent of retaining the cluster and the other factors that are listed below distance favor keeping them all together.",Normal,False,True,False,Negative,1
112,CHAIRMAN FRIEDMAN,do you have a response?.,Interrogative-affirmation,False,False,False,Neutral,2
113,CHAIRMAN FRIEDMAN,how would you like to proceed here?.,Interrogative-unknown,False,False,False,Neutral,2
114,MR. ALLEN,"if the committee does want to defer this to the next meeting, the next meeting's what the committee would take for us to do some background research and see if entire nonappropriated fund wage areas have been moved and what kind of shape and form might have taken place.",Normal,False,False,False,Negative,1
115,CHAIRMAN FRIEDMAN,"well, given that wages are actually frozen right now, chairman friedman know you have a schedule to keep in terms of surveys, but given that wages are actually frozen right now, might chairman friedman suggest we defer?.",Interrogative-affirmation,False,False,False,Negative,1
116,CHAIRMAN FRIEDMAN,is there any strong reason not to?.,Interrogative-affirmation,True,False,False,Neutral,2
117,MR. ALLEN,no.,Normal,True,False,False,Neutral,2
118,CHAIRMAN FRIEDMAN,so chairman friedman guess we will all do some more research and hopefully next month actually reach a resolution on this one.,Task Assigned,False,False,False,Negative,1
119,MR. ELDER,thank you.,Normal,False,False,False,Positive,3
120,CHAIRMAN FRIEDMAN,"which brings up -lrb-f-rrb-, the proposal from afge to move monroe county from the scranton-wilkes-barre wage area to the new york wage area.",Task Assigned,False,False,False,Negative,1
121,CHAIRMAN FRIEDMAN,anything new on that right now?.,Interrogative-unknown,False,False,False,Neutral,2
122,MS. SIMON,no.,Normal,True,False,False,Neutral,2
123,CHAIRMAN FRIEDMAN,is that one we wish to defer for now?.,Interrogative-unknown,False,False,False,Negative,1
124,MR. ALLEN,"as a matter of old business, yes, mr.",Normal,False,False,False,Neutral,2
124,MR. ALLEN,chairman.,Normal,False,False,False,Neutral,2
125,CHAIRMAN FRIEDMAN,okay.,Normal,False,False,False,Positive,3
126,CHAIRMAN FRIEDMAN,"that brings that to new business, and the first three items relate to the discussion that were having about lee county and whether some of the work that the fprac work group in 2008, before chairman friedman's time, was doing might bear on situations like lee county.",Suggestion,False,True,True,Neutral,2
127,CHAIRMAN FRIEDMAN,so we have the employment breakdown by county for the east tennessee wage area.,Task Assigned,False,False,False,Neutral,2
128,CHAIRMAN FRIEDMAN,"we have the list of small, low-populated wage areas.",Normal,False,False,False,Negative,1
129,CHAIRMAN FRIEDMAN,"we have the various options that were under consideration in the work group in 2008 and then brought back to fprac in that year but, as chairman friedman understand consideration in the work group in 2008, not actually -- well, let chairman friedman get this right.",Normal,True,True,True,Negative,1
130,CHAIRMAN FRIEDMAN,chairman friedman guess there were votes on those.,Normal,False,False,False,Negative,1
131,CHAIRMAN FRIEDMAN,chairman friedman'm a little bit fuzzy on the outcome.,Normal,False,False,False,Negative,1
132,CHAIRMAN FRIEDMAN,"chairman friedman know we've had this conversation, mark.",Normal,False,True,False,Negative,1
133,CHAIRMAN FRIEDMAN,"no recommendations went forward -- no, wait.",Normal,True,False,False,Negative,1
134,CHAIRMAN FRIEDMAN,"recommendations went forward to the director, but they weren't implemented at that time; is that correct?.",Interrogative-affirmation,False,False,False,Negative,1
135,CHAIRMAN FRIEDMAN,chairman friedman'm talking now about 545-oc-1.,Normal,False,True,True,Negative,1
136,MR. ALLEN,"545-oc-1, yes.",Normal,False,True,True,Neutral,2
137,MR. ALLEN,"what happened after the conclusion of the working group -- this would have been in 2008 -- fprac had deferred most of the conclusion of the working group -- this would have been in 2008 -- fprac's business while the working group was taking place, and the working group could not come to consensus on one of five options that were mapped out on how to adjust the rules under which the committee would operate.",Normal,True,True,True,Negative,1
138,MR. ALLEN,"the main point of disagreement was on whether to use gs locality pay areas or not, and there was eventually a majority vote to use, mr.",Normal,True,False,False,Negative,1
138,MR. ALLEN,"allen believe the main point of disagreement was, option 3.",Task Assigned,False,True,True,Negative,1
139,MR. ALLEN,"there were several recommendations in option 3, most of them having to do with things that fprac wanted to consider, such as if you have a wage area with fewer than 300 employees, then you should consider option 3 for abolishment.",Normal,False,True,True,Negative,1
140,MR. ALLEN,"if there was a county with more than 300 employees, then a county with more than 300 employees should be included in a survey area and that type of thing.",Normal,False,True,True,Negative,1
141,MR. ALLEN,"there were no changes made in opm's operating regulations as a result of these recommendations, and mr.",Task Assigned,True,False,False,Negative,1
141,MR. ALLEN,"allen believe we are currently considering these again as part of the new working group, not the survey issues working group dealing with the fprac recommendation from back in october but from a new wage area definition study working group that was established prior to the new working group under we's new chairman.",Suggestion,True,True,False,Negative,1
142,MR. ALLEN,and mr.,Normal,False,False,False,Neutral,2
142,MR. ALLEN,allen think we're actually looking at a lot more than we had been in the previous working group.,Task Assigned,False,False,False,Neutral,2
143,CHAIRMAN FRIEDMAN,okay.,Normal,False,False,False,Positive,3
144,CHAIRMAN FRIEDMAN,"in view of these options -- and you say option 3 was voted on, chairman friedman think?.",Interrogative-unknown,False,True,True,Negative,1
145,MR. ALLEN,"by the majority vote, yes.",Normal,False,False,False,Neutral,2
146,CHAIRMAN FRIEDMAN,"is there any further discussion now of any of these three pieces of paper, or in relation to lee county?.",Interrogative-affirmation,False,False,False,Negative,1
147,MS. SIMON,"well, mark, what would it take to adopt one of these ideas, consider abolishing a wage area with fewer than 300 fws employees?.",Interrogative-what,False,True,True,Negative,1
148,MS. SIMON,"when you say consider it, let's say we considered 's and then somebody said, well, nowhere is nowhere written that a wage area with fewer than 300 fws employees must be abolished; therefore, we shouldn't do it.",Normal,False,True,True,Verynegative,0
