dialogue_id,speaker,sentence,classification_typenot-word-found,date-found,figure (number) found,sentiment-type,sentiment-score
148,MS. SIMON,do we have to actually change the regulation?.,Interrogative-affirmation,False,False,False,Neutral,2
149,MS. SIMON,does opm actually have to change the regulation in order to -- ms.,Task Assigned,False,False,False,Negative,1
149,MS. SIMON,"simon don't want to say compel, but even realistically allow for fprac to take an action like the regulation?.",Interrogative-unknown,False,False,False,Neutral,2
150,MR. ALLEN,"what happened with the last working group was that we basically wanted to establish some ground rules within the committee in order to provide to opm recommendations, and mr.",Task Assigned,False,False,False,Neutral,2
150,MR. ALLEN,"allen believe that 300 figure was something that all the members agreed to, but the last working group was not a hard-and-fast rule.",Task Assigned,True,True,True,Negative,1
151,MR. ALLEN,"in fact, what we did with, mr.",Normal,False,False,False,Neutral,2
151,MR. ALLEN,"allen believe it was, the new london wage area, after the working group meetings had ended, we took a look at the new london wage area, and it was slightly below 300 employees, but there were some indications that the employment level was stable and had actually been increasing by a few employees in the previous few years.",Normal,False,True,True,Verynegative,0
152,MR. ALLEN,"in that case, it was a consensus recommendation to leave the new london wage area as a separate wage area.",Task Assigned,False,False,False,Negative,1
153,MS. SIMON,what you just said was you's response to that's what consider your response means?.,Interrogative-what,False,False,False,Neutral,2
154,MR. ALLEN,yes.,Normal,False,False,False,Neutral,2
155,MR. ALLEN,"it was not a proposal to change opm's regulations to say that if a federal wage system wage area falls below 300 employees, then a proposal to change opm 's regulations to say that if a federal wage system wage area falls below 300 employees must be combined with another area.",Normal,True,True,True,Negative,1
156,CHAIRMAN FRIEDMAN,"where did 300 come from instead of 500, or 200?.",Interrogative-unknown,False,True,True,Neutral,2
157,CHAIRMAN FRIEDMAN,chairman friedman'm just curious about that.,Normal,False,False,False,Negative,1
158,MR. ALLEN,"in the working group, we went through a detailed study of what would happen if the figure was 300, 400, or 500, and maps were provided to everybody that showed what would happen at each level if a wage area was abolished, if each level fell below a certain threshold.",Normal,False,True,True,Negative,1
159,MR. ALLEN,mr.,Normal,False,False,False,Neutral,2
159,MR. ALLEN,"allen should say that the main reason for proposing something like that was the capability of the host installation within a wage area to continue supporting a local wage survey, so that have some wage areas that are on the 566-opm-2 list that are below 100 employees now.",Task Assigned,False,True,True,Negative,1
160,MR. PHELPS,did mr.,Normal,False,False,False,Neutral,2
160,MR. PHELPS,"phelps read something somewhere where the number was 100 and wanted to raise the number to 300, that if the number dropped below 300, or is that something else?.",Interrogative-unknown,False,True,True,Neutral,2
161,MR. ALLEN,"actually, there is no criterion on opm's regulation that sets the minimum level for employment within an existing wage area.",Task Assigned,True,False,False,Negative,1
162,MR. ALLEN,there is a criterion that says 100 employees to establish a wage area.,Task Assigned,False,True,True,Negative,1
163,MR. ALLEN,"actually, mr.",Normal,False,False,False,Neutral,2
163,MR. ALLEN,allen think it's 100 employees of an agency to establish an area.,Task Assigned,False,True,True,Negative,1
164,MR. PHELPS,"yeah, mr.",Normal,False,False,False,Positive,3
164,MR. PHELPS,phelps think that's what mr.,Normal,False,False,False,Neutral,2
164,MR. PHELPS,phelps saw.,Normal,False,False,False,Neutral,2
165,MR. ALLEN,there is nothing about disestablishing a wage area.,Normal,False,False,False,Negative,1
166,CHAIRMAN FRIEDMAN,any thoughts about whether we continue discussing this right now?.,Interrogative-affirmation,False,False,False,Neutral,2
167,MR. PHELPS,mr.,Normal,False,False,False,Neutral,2
167,MR. PHELPS,phelps would think that since we're looking at a lot of things that would tie in with this in the work group that it might be better to defer until we see what happens in the current work group.,Normal,False,False,False,Negative,1
168,CHAIRMAN FRIEDMAN,seem reasonable?.,Interrogative-unknown,False,False,False,Neutral,2
169,MR. ALLEN,mr.,Normal,False,False,False,Neutral,2
169,MR. ALLEN,allen think that's a good idea.,Normal,False,False,False,Neutral,2
170,CHAIRMAN FRIEDMAN,okay.,Normal,False,False,False,Positive,3
171,CHAIRMAN FRIEDMAN,"in that case, that brings up the last new business item, a letter from the department of the army concerning the proposal to consolidate wage areas that lie within gs locality pay areas, 566-mgt-1, which chairman friedman take that case, is just to be input to our's committee and everybody has a copy.",Normal,False,True,True,Negative,1
172,CHAIRMAN FRIEDMAN,is there any discussion of that?.,Interrogative-affirmation,False,False,False,Neutral,2
173,CHAIRMAN FRIEDMAN,does everybody in fact have a copy?.,Interrogative-affirmation,False,False,False,Negative,1
174,CHAIRMAN FRIEDMAN,"it was e-mailed out, and it should be in your's packets as well.",Task Assigned,False,False,False,Negative,1
175,CHAIRMAN FRIEDMAN,it is.,Normal,False,False,False,Neutral,2
176,MR. ALLEN,mr.,Normal,False,False,False,Neutral,2
176,MR. ALLEN,"allen believe, mr.",Normal,False,False,False,Neutral,2
176,MR. ALLEN,"chairman, our's member from the department of the army would like to read this letter into the record.",Task Assigned,False,False,False,Negative,1
177,CHAIRMAN FRIEDMAN,"well, you are free to do you, although we could just instruct the transcriptionist to include it.",Task Assigned,False,False,False,Positive,3
178,CHAIRMAN FRIEDMAN,chairman friedman will leave it up to you.,Normal,False,False,False,Positive,3
179,MS. WALKER,"well, the organization asked ms.",Normal,False,False,False,Positive,3
179,MS. WALKER,walker to please be their's representative and to read this into the record since their could not be here personally.,Task Assigned,True,False,False,Neutral,2
180,CHAIRMAN FRIEDMAN,"you're a speed reader, right?.",Interrogative-affirmation,False,False,False,Neutral,2
181,MS. WALKER,ms.,Normal,False,False,False,Neutral,2
181,MS. WALKER,walker hope so.,Normal,False,False,False,Neutral,2
182,MS. WALKER,ms.,Normal,False,False,False,Neutral,2
182,MS. WALKER,walker'll try not to get too --.,Normal,True,False,False,Neutral,2
183,CHAIRMAN FRIEDMAN,okay.,Normal,False,False,False,Positive,3
184,MS. WALKER,"anyway, this was a letter that came from u.",Normal,False,False,False,Negative,1
184,MS. WALKER,s.,Normal,False,False,False,Neutral,2
184,MS. WALKER,"headquarters, army materiel command.",Normal,False,False,False,Negative,1
185,MS. WALKER,it is the higher headquarters for tobyhanna army depot.,Normal,False,False,False,Negative,1
186,MS. WALKER,it is a memorandum through dr.,Normal,False,False,False,Negative,1
186,MS. WALKER,"susan duncan, who is the ag-1 for civilian personnel, army, to chairman friedman.",Task Assigned,False,True,True,Negative,1
187,MS. WALKER,the subject is the impact of the application of locality pay to federal wage system employees.,Task Assigned,False,False,False,Negative,1
188,MS. WALKER,the federal prevailing rate advisory committee has been discussing the application of locality pay to federal wage system -lrb-fws-rrb- employees at locations where locality pay is given to general schedule -lrb-gs-rrb- employees.,Task Assigned,False,False,False,Negative,1
189,MS. WALKER,this letter -- this is to express the concerns of the u.,Normal,False,False,False,Neutral,2
189,MS. WALKER,s.,Normal,False,False,False,Neutral,2
189,MS. WALKER,army materiel command -lrb-amc-rrb- as to the significant impact this change would have on amc.,Task Assigned,False,False,False,Negative,1
190,MS. WALKER,"one amc installation, tobyhanna army depot, specifically exemplifies the financial impacts of the fprac decision.",Normal,False,False,False,Negative,1
191,MS. WALKER,"in 2005, monroe county, pennsylvania, was placed in the new york locality pay area.",Task Assigned,False,True,True,Negative,1
192,MS. WALKER,a consequence of this decision was that gs employees at tobyhanna army depot were added to the new york locality pay area.,Task Assigned,False,False,False,Negative,1
193,MS. WALKER,"since that time, the american federation of government employees local 1647 has been advocating for new york locality pay for fws employees.",Task Assigned,False,True,True,Negative,1
194,MS. WALKER,"in light of the union's request before the fprac, we write to place on the record we's concerns about the impact of an fprac decision on the cost to operate tobyhanna army depot.",Task Assigned,False,False,False,Neutral,2
195,MS. WALKER,"tobyhanna army depot is located in the northwest border of monroe county, 22 miles from scranton, pennsylvania, and 101 miles form new york city, new york.",Task Assigned,False,True,True,Negative,1
196,MS. WALKER,"while approximately 18 percent of residents in the eastern portion of monroe county commute out of monroe county to work, particularly in high-paying jobs in the new york-new jersey metropolitan areas, the vast majority of tobyhanna army depot's 4,250 employees reside outside of monroe county.",Normal,False,True,True,Negative,1
197,MS. WALKER,"lackawanna county hosts 1,510 tobyhanna army depot employees, and luzerne county has 1,070 tobyhanna army depot employees.",Task Assigned,False,False,True,Negative,1
198,MS. WALKER,both lackawanna and luzerne counties lie in the rest of the u.,Normal,False,False,False,Neutral,2
198,MS. WALKER,s.,Normal,False,False,False,Neutral,2
198,MS. WALKER,-lrb-rus-rrb- for locality pay purposes.,Normal,False,False,False,Neutral,2
199,MS. WALKER,fewer than 600 tobyhanna army depot employees reside in monroe county.,Normal,False,False,True,Negative,1
200,MS. WALKER,"only 15 percent of the depot workforce resides in monroe county and adjacent pike county, which is also in the new york locality pay area.",Task Assigned,False,True,True,Negative,1
201,MS. WALKER,"no tobyhanna army depot employees commute from new york city to tobyhanna,pa, and only seven tobyhanna army depot employees live in new york state or new jersey.",Task Assigned,True,False,False,Negative,1
202,MS. WALKER,commuting to tobyhanna army depot does not appear to be a concern because tobyhanna army depots location on the western border of monroe county facilitates travel for the majority of the employees.,Task Assigned,True,True,False,Negative,1
203,MS. WALKER,most employees -lrb-60 percent-rrb- travel by interstate highway from luzerne and lackawanna counties to monroe county.,Task Assigned,False,True,True,Negative,1
204,MS. WALKER,public transportation is readily available to tobyhanna army depot via van pool and bus.,Normal,False,False,False,Negative,1
205,MS. WALKER,tobyhanna army depot has the largest mass transportation benefit program outside of the national capital region.,Normal,False,False,False,Negative,1
206,MS. WALKER,"the average value of a mass transportation benefit program voucher per tobyhanna army depot employee is $158 per quarter, or $632 annually.",Task Assigned,False,True,True,Negative,1
207,MS. WALKER,"given that few -lrb-seven-rrb- employees commute from new york state or new jersey to tobyhanna army depot, the assumption that new york and new jersey commuters living in monroe county impact tobyhanna army depot is false.",Suggestion,False,False,False,Negative,1
208,MS. WALKER,the mission of tobyhanna army depot is to provide depot maintenance on weapons systems for the department of defense -lrb-dod-rrb-.,Task Assigned,False,False,False,Negative,1
209,MS. WALKER,"tobyhanna army depot is one of five maintenance depots under amc command, all of which are army working capital fund activities.",Task Assigned,False,False,False,Negative,1
210,MS. WALKER,"accordingly, the depot is not an appropriated activity but competes for the depot's funding from other dod customers that choose to have their's weapons systems repaired at tobyhanna army depot.",Normal,True,False,False,Negative,1
211,MS. WALKER,cost is a primary consideration in the decision to utilize tobyhanna army depot as opposed to another maintenance provider in the dod depot system or the private sector.,Task Assigned,False,False,False,Neutral,2
212,MS. WALKER,"consequently, tobyhanna army depot strives to be the most efficient and cost-effective depot in the dod.",Task Assigned,False,False,False,Negative,1
213,MS. WALKER,"like tobyhanna army depot, this command is also concerned with costs.",Task Assigned,False,False,False,Negative,1
214,MS. WALKER,"the transfer of gs employees to the new york locality pay area in 2005 has already impacted tobyhanna army depot's cost of operations and, consequently, the rate charged to dod customers.",Task Assigned,False,True,True,Negative,1
215,MS. WALKER,"in fiscal year '10, for example, the new york locality pay was 28.",Normal,False,True,True,Negative,1
215,MS. WALKER,72 percent greater than the rest of the united states -lrb-rus-rrb-.,Task Assigned,False,True,True,Positive,3
216,MS. WALKER,"in this time of budget constraints, diminishing federal resources, high unemployment, and the general condition of our's nation's economy, costs should be a factor in the committee's analysis.",Task Assigned,False,False,False,Negative,1
217,MS. WALKER,secretary of defense resource management directive 7032a eliminated approximately $834 million from the army operations and maintenance account -lrb-oma-rrb-.,Task Assigned,False,True,True,Negative,1
218,MS. WALKER,"accordingly, by memorandum dated 11 july 2011, the army has directed the elimination of 8,741 full-time equivalents -lrb-ftes or positions-rrb-.",Task Assigned,False,True,True,Negative,1
219,MS. WALKER,"the specific impact of the oma reduction on weapon system support and maintenance has yet to be determined, but it is reasonable to conclude that depot maintenance programs will be cut or eliminated.",Task Assigned,False,False,False,Negative,1
220,MS. WALKER,"unnecessary increases, such as those resulting from the afge proposal, will further impact amc's ability to cost effectively maintain critical weapon systems.",Task Assigned,False,False,False,Negative,1
221,MS. WALKER,"with respect to the need for new york locality pay at tobyhanna army depot, the current average salary of a tobyhanna army depot employee is $55,472.",Task Assigned,False,False,True,Negative,1
222,MS. WALKER,"the average salary for an fws employee is $49,035 and $64,009 for a gs employee.",Task Assigned,False,False,True,Negative,1
223,MS. WALKER,"in 2010, the average salary of a private sector employee was $38,522 in monroe county, $35,672 in lackawanna county, and $36,137 in luzerne county.",Task Assigned,False,True,True,Negative,1
224,MS. WALKER,according to the u.,Normal,False,False,False,Neutral,2
224,MS. WALKER,s.,Normal,False,False,False,Neutral,2
224,MS. WALKER,"bureau of labor statistics annual report for the new york-northern new jersey-long island-eastern pennsylvania metropolitan statistical area, the average salary of a private sector employee in the new york locality pay area is $54,250.",Task Assigned,False,False,True,Negative,1
225,MS. WALKER,the cost of living index score for monroe county is 95 in comparison to a score of 167 in new york city.,Task Assigned,False,True,True,Negative,1
226,MS. WALKER,"thus, the overwhelming majority of employees at tobyhanna army depot earn more than a private sector employee in either monroe county or the new york locality pay area, while enjoying a substantially lower cost of living than a new york city resident.",Normal,False,False,False,Negative,1
227,MS. WALKER,the absence of fws locality pay does not appear to have discouraged applicants for employment at tobyhanna army depot.,Task Assigned,True,False,False,Negative,1
228,MS. WALKER,"historically, tobyhanna army depots attrition rate is low, 6 percent in 2011, and there is a well-qualified labor pool to fill vacancies.",Task Assigned,False,True,True,Negative,1
229,MS. WALKER,"in fiscal year 2010, for example, tobyhanna received over 40,000 applications for employment.",Task Assigned,False,True,True,Negative,1
230,MS. WALKER,"fws salaries will increase by approximately 25 percent, the new york locality pay differential rate if this proposal is approved.",Task Assigned,False,True,True,Negative,1
231,MS. WALKER,"for example, a wage grade-10, step 3 employee was paid $21.",Task Assigned,False,True,True,Negative,1
231,MS. WALKER,96 per hour in 2010 under the rus locality pay adjustment.,Normal,False,True,True,Negative,1
232,MS. WALKER,"if tobyhanna army depot was included in the new york locality pay, that wage grade-10 employee would receive $27.",Task Assigned,False,True,True,Negative,1
232,MS. WALKER,53 per hour.,Normal,False,True,True,Neutral,2
233,MS. WALKER,the fy11 cumulative impact would be almost $27 million in increased salary costs to tobyhanna army depot.,Task Assigned,False,True,True,Negative,1
234,MS. WALKER,this proposal would increase the cost to tobyhanna army depot and this proposal's customers by approximately $130 million over a five-year period and would have a negative impact on the depot's competitiveness and could actually force the depot to release personnel.,Suggestion,False,True,True,Negative,1
235,MS. WALKER,"in conclusion, the current methodology of defining locality pay boundaries is troublesome and inconsistent, and further study is needed of this issue.",Task Assigned,True,False,False,Negative,1
236,MS. WALKER,"although it may generally seem logical to apply locality pay on a county-wide basis, the tobyhanna army depot situation shows that this has resulted in a large salary disparity between public and private sector salaries.",Task Assigned,False,True,False,Negative,1
237,MS. WALKER,"in this era of fiscal austerity and dramatic budget cuts, the fprac should review current rules for applying locality pay, particularly where this era of fiscal austerity and dramatic budget cuts leads to the increase rates at tobyhanna army depot and the potential for additional reductions in force.",Task Assigned,False,False,False,Negative,1
238,MS. WALKER,"there needs to be a comprehensive nationwide pay-setting process that is truly equitable, representative, and considers the financial impact of the decision.",Task Assigned,False,False,False,Negative,1
239,MS. WALKER,a more clearly defined process would both reduce the cost of government and restore balance and fairness to pay setting for all federal employees.,Task Assigned,False,False,False,Negative,1
240,MS. WALKER,"further, the financial and staffing impacts of any decision, to include the potential loss of workload and personnel, must be considered.",Normal,False,False,False,Negative,1
241,MS. WALKER,"in light of these concerns, amc recommends that the fprac -lrb-1-rrb- refuse to extend the locality pay decision to fws employees and -lrb-2-rrb- revisit the validity of the 2005 decision applying new york locality pay to tobyhanna army depot's gs employees.",Task Assigned,False,True,True,Negative,1
242,MS. WALKER,thank you for providing us with an opportunity to comment on this matter of extreme importance.,Task Assigned,False,False,False,Positive,3
243,CHAIRMAN FRIEDMAN,okay.,Normal,False,False,False,Positive,3
244,CHAIRMAN FRIEDMAN,is there any discussion?.,Interrogative-affirmation,False,False,False,Neutral,2
245,CHAIRMAN FRIEDMAN,"if not, please thank mr.",Normal,True,False,False,Negative,1
245,CHAIRMAN FRIEDMAN,marriott for providing this input to our's committee.,Normal,False,False,False,Negative,1
246,MS. WALKER,ms.,Normal,False,False,False,Neutral,2
246,MS. WALKER,walker will do that.,Normal,False,False,False,Neutral,2
247,MS. WALKER,ms.,Normal,False,False,False,Neutral,2
247,MS. WALKER,"walker have a couple of other comments, and this is something that has really confused ms.",Task Assigned,False,False,False,Negative,1
247,MS. WALKER,walker since this whole matter was kind of brought before the fprac.,Normal,False,False,False,Positive,3
248,MS. WALKER,ms.,Normal,False,False,False,Neutral,2
248,MS. WALKER,walker still don't understand the genesis and the justification for the linking of the fws pay to the gs locality pay to begin with.,Task Assigned,False,False,False,Negative,1
249,MS. WALKER,is there a way that we could get the history of a way since a way seems to be kind of at the crux of this whole issue?.,Interrogative-affirmation,False,False,False,Neutral,2
250,MS. WALKER,"because that didn't happen until, what, 2004, 2005?.",Interrogative-what,False,False,True,Neutral,2
251,MS. WALKER,"but prior to that, the fws salary was in no way linked to the gs locality pay.",Task Assigned,True,False,False,Negative,1
252,MR. ALLEN,i guess what barbara is talking about is the floor increase provision.,Task Assigned,False,False,False,Negative,1
253,CHAIRMAN FRIEDMAN,that's what that assumed she was talking about.,Normal,False,False,False,Neutral,2
254,MR. ALLEN,"it's in the legislation, which opm did not have anything to do with.",Normal,True,False,False,Negative,1
255,MR. ALLEN,that was a congressional action.,Normal,False,False,False,Neutral,2
256,MR. ALLEN,that was a pay parity initiative that the congress had been interested in.,Task Assigned,False,False,False,Negative,1
257,MS. WALKER,ms.,Normal,False,False,False,Neutral,2
257,MS. WALKER,"walker think that that's something that if that all understand what the genesis of that was, maybe the genesis of that will shed some light on the validity of making any changes.",Task Assigned,False,True,False,Neutral,2
258,MS. WALKER,"also, as you heard in the letter, tobyhanna is very concerned about the fact that the gs locality area was moved to the new york area.",Task Assigned,False,False,False,Negative,1
259,MS. WALKER,it's been very costly to army.,Normal,False,False,False,Neutral,2
260,MS. WALKER,"army has paid the biggest bill due to these changes, and we don't understand how these changes happened either, because dod nor army was a part of the federal salary council that even made that decision.",Suggestion,False,True,False,Negative,1
261,MS. WALKER,and ms.,Normal,False,False,False,Neutral,2
261,MS. WALKER,walker realize that gs pay is not what we do here on the fprac committee --.,Task Assigned,True,False,False,Negative,1
262,CHAIRMAN FRIEDMAN,that's correct.,Normal,False,False,False,Neutral,2
263,MS. WALKER,-- but it does impact what we have on the floor in front of we right now to decide.,Task Assigned,False,True,False,Positive,3
264,MS. WALKER,"so, if we could possibly get -- and ms.",Normal,False,False,False,Neutral,2
264,MS. WALKER,"walker'm assuming that that information is open to the public, since public funds are paying the bill -- how we came to that decision, the gs employees from monroe county to new york?.",Interrogative-unknown,False,True,False,Neutral,2
265,CHAIRMAN FRIEDMAN,"chairman friedman believe if you consult the reports of the federal salary council for whatever the relevant year is, chairman friedman guess the relevant year would be 2004, something like the federal salary council.",Task Assigned,False,True,True,Negative,1
266,CHAIRMAN FRIEDMAN,"that would have the rationale, and that believe the rationale was based on commuting patterns at the time.",Task Assigned,False,False,False,Negative,1
267,MS. SIMON,didn't allan hearne come and give a briefing at some point?.,Interrogative-unknown,False,False,False,Negative,1
268,CHAIRMAN FRIEDMAN,"chairman friedman did, indeed.",Normal,False,False,False,Negative,1
269,MS. SIMON,yeah.,Normal,False,False,False,Positive,3
270,MS. SIMON,maybe it might have been right before you came on.,Task Assigned,False,False,False,Neutral,2
271,MS. WALKER,"no, he didn't cover that.",Normal,True,False,False,Negative,1
272,MS. WALKER,he covered the process of how --.,Normal,False,False,False,Neutral,2
273,MS. SIMON,"well, that's the answer to the question.",Normal,False,False,False,Positive,3
274,MS. WALKER,-- the locality pay is determined.,Normal,False,False,False,Neutral,2
275,MS. SIMON,"well, that's the answer to your's question, because your question's based on census data, and the decennial census of 2000 had commuting data, and that brought monroe county into the -- is monroe county the combined statistical area or the metropolitan statistical area that includes new york city?.",Interrogative-unknown,False,True,True,Negative,1
276,MR. ALLEN,csa.,Normal,False,False,False,Neutral,2
277,MS. SIMON,csa.,Normal,False,False,False,Neutral,2
278,MS. SIMON,it's a combined statistical area.,Normal,False,False,False,Neutral,2
279,MS. SIMON,"and the gs system has adopted a regulation that concludes an entire combined statistical area in one gs locality, so the gs system was sort of automatic in that regard.",Task Assigned,False,False,False,Negative,1
280,MS. WALKER,"well, ms.",Normal,False,False,False,Positive,3
280,MS. WALKER,walker think army would like --.,Normal,False,False,False,Neutral,2
281,CHAIRMAN FRIEDMAN,chairman friedman'm sorry.,Normal,False,False,False,Negative,1
282,CHAIRMAN FRIEDMAN,"chairman friedman don't mean to cut you off in any way, but you can certainly get you's question answered by top experts at opm right around the table here, jerry and mark, who can give you all the history of the federal salary council, and the federal salary council would be the correct body, chairman friedman think, not this one, for any questions about how monroe county came to be redefined to the new york gs locality pay area.",Normal,True,False,False,Negative,1
283,CHAIRMAN FRIEDMAN,you certainly have avenues to raise that there.,Normal,False,False,False,Positive,3
284,MS. WALKER,"and we will do we, because making that kind of a financial decision without the input of the department of defense is probably not a good way to do this based on the information that is in the report that ms.",Task Assigned,True,False,False,Negative,1
284,MS. WALKER,walker just read.,Normal,False,False,False,Neutral,2
285,MS. WALKER,"increasing the salaries will basically cost us twice as much money, because us will be paying the salaries as well as paying higher cost for the work that's done at tobyhanna, so twice as much money's going to be a bigger financial impact on the department of defense.",Suggestion,False,False,False,Negative,1
286,CHAIRMAN FRIEDMAN,"in other words, the white collar people already had a pay boost that you don't agree with, and then to also boost the pay of the blue collar people would compound something that you already don't agree with.",Normal,False,False,False,Negative,1
287,MS. WALKER,"well, they have to increase they's cost of labor, and what they charge the department of defense to make the repairs on these weapon systems will increase using they.",Normal,False,False,False,Positive,3
288,CHAIRMAN FRIEDMAN,"well, may chairman friedman suggest that we have a work group to consider implementation of this proposal, and when a work group to consider implementation of this proposal's work is done, its work will be brought back here, and its work would, chairman friedman think, be the time to revisit the issue as far as the fws is concerned.",Normal,False,True,False,Negative,1
289,CHAIRMAN FRIEDMAN,anything else on this?.,Interrogative-affirmation,False,False,False,Neutral,2
290,CHAIRMAN FRIEDMAN,any other business that we need to address this morning?.,Interrogative-affirmation,False,False,False,Neutral,2
291,CHAIRMAN FRIEDMAN,"if not, how do people feel about adjourning?.",Interrogative-unknown,True,False,False,Neutral,2
292,MR. PHELPS,so moved.,Normal,False,False,False,Positive,3
293,MR. ALLEN,and seconded.,Normal,False,False,False,Neutral,2
294,CHAIRMAN FRIEDMAN,okay.,Normal,False,False,False,Positive,3
295,CHAIRMAN FRIEDMAN,"hearing no objection, we are adjourned, and we will have a work group meeting in -- let's make 's six minutes or seven minutes.",Task Assigned,True,False,False,Negative,1
296,CHAIRMAN FRIEDMAN,--.,Normal,False,False,False,Neutral,2
