,introduction,announcement,announcement cdrom contain letter employee tobyhanna army depot support fprac recommendation consolidate fws wage area lie within gs locality pay area,announcement response may 11 2012 memorandum fprac chairman colonel jam p ross new boston air force station support 2010 afge proposal,review minute 575th meeting,total employment eastern tennessee wage area county,list fws wage area few 500 employee,review criterion define appropriate fund wage area,discussion survey issuesconcern fprac chairman memorandum member survey issue work group,special wage schedule pay practice federal wage system lock dam employee,definition south bendmishawaka inmi metropolitan statistical area,letter american federation government employee date june 6 2011 request fprac review proposal redefine monroe county pa scrantonwilkesbarre pa wage area new york ny wage area,definition hickorylenoirmorganton nc metropolitan statistical area,definition youngstownwarrenboardman ohpa metropolitan statistical area,proposal fprac review federal wage system appropriate fund nonappropriate fund operating manual
Thank you and welcome.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ill make a couple of quick announcements.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
You have in your folders a CD-ROM containing about 400 letters from FWS employees at Tobyhanna Army Depot in Pennsylvania.,116.42485596707819,116.42485596707819,3819317.4000000004,116.42485596707819,116.42485596707819,116.42485596707819,582.1242798353911,116.42485596707819,116.42485596707819,116.42485596707819,116.42485596707819,116.42485596707819,116.42485596707819,116.42485596707819,116.42485596707819
"So some people, I hope, will want to take a look at them.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Also included in your folders is my response to a May letter that I received from Colonel James Ross regarding the situation of FWS workers at the New Boston Air Force Station in New Hampshire.,3785.115715803427,3785.115715803427,94627.89289508574,5280359912946.009,3785.115715803427,3785.115715803427,18925.578579017143,3785.115715803427,15897.486006374396,3785.115715803427,3785.115715803427,473139.4644754288,3785.115715803427,3785.115715803427,3785.115715803427
The incoming letter was distributed at our last meeting.,3.4799999999999995,3.4799999999999995,17.400000000000002,3.4799999999999995,31.319999999999997,3.4799999999999995,3.4799999999999995,3.4799999999999995,3.4799999999999995,3.4799999999999995,3.4799999999999995,17.400000000000002,3.4799999999999995,3.4799999999999995,3.4799999999999995
Any other announcements?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Did you want to make an announcement?,0.5102040816326531,2.142857142857143,2.142857142857143,2.142857142857143,0.5102040816326531,0.5102040816326531,0.5102040816326531,0.5102040816326531,0.5102040816326531,0.5102040816326531,0.5102040816326531,0.5102040816326531,0.5102040816326531,0.5102040816326531,0.5102040816326531
Yes.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"At the last meeting, there was a question raised in regard to the future size of the Federal Wage System workforce.",0.2241852631578947,0.2241852631578947,0.7516799999999997,0.2241852631578947,2.017667368421052,0.7516799999999997,0.7516799999999997,0.7516799999999997,0.2241852631578947,35.49600000000001,0.2241852631578947,1.4198399999999995,0.2241852631578947,0.2241852631578947,18.792
"I mean, obviously, it's not the single occupational series, so we tend not to look at employment forecasting in a particular pay system.",3.758399999999999,3.758399999999999,18.791999999999998,3.758399999999999,3.758399999999999,33.825599999999994,3.758399999999999,3.758399999999999,3.758399999999999,93.96000000000002,3.758399999999999,3.758399999999999,3.758399999999999,3.758399999999999,18.791999999999998
"The Department of Defense has a Strategic Human Capital Office, which does take a look at workforce size and the forecasting of it, and it looks at the occupational series or occupational series group.",3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,29.0,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223
"So, if you have a particular occupational series that also happens to be covered by the FWS, that's how they tend to look at what the employment needs of the Department are going to be over time.",3.4799999999999995,3.4799999999999995,17.400000000000002,3.4799999999999995,3.4799999999999995,31.319999999999997,17.400000000000002,3.4799999999999995,3.4799999999999995,3.4799999999999995,3.4799999999999995,3.4799999999999995,3.4799999999999995,3.4799999999999995,3.4799999999999995
"As a result of a comment being made in the last meeting, I approached that office and asked if they had been intending to take a look at the occupations that are covered by the FWS.",3.4799999999999995,3.4799999999999995,17.400000000000002,3.4799999999999995,31.319999999999997,3.4799999999999995,17.400000000000002,3.4799999999999995,3.4799999999999995,3.4799999999999995,3.4799999999999995,3.4799999999999995,3.4799999999999995,3.4799999999999995,3.4799999999999995
"They happen not to be, but we have an opportunity at the departmental level to initiate a study with regard to all positions covered by the FWS and see what employment may look like 10 years out.",11.213333333333333,11.213333333333333,56.06666666666668,100.91999999999999,11.213333333333333,100.91999999999999,56.06666666666668,11.213333333333333,11.213333333333333,11.213333333333333,11.213333333333333,11.213333333333333,11.213333333333333,11.213333333333333,11.213333333333333
I assume that everyone in this room is fairly interested in that.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"We are, too, for a variety of reasons, as you might imagine, for budgeting purposes.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
We're going to initiate a proposal.,0.5102040816326531,0.5102040816326531,0.5102040816326531,2.142857142857143,0.5102040816326531,0.5102040816326531,0.5102040816326531,0.5102040816326531,0.5102040816326531,0.5102040816326531,0.5102040816326531,2.142857142857143,0.5102040816326531,0.5102040816326531,2.142857142857143
"The study probably will be carried out by RAND, which carries out a lot of our studies.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
They're obviously not affiliated with or part of the government.,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,29.0,3.2222222222222223,3.2222222222222223,3.2222222222222223
So we're going to propose jointly out of my shop and out of the Strategic Human Capital Office a fairly comprehensive look at what the trends are going to be in positions covered by the FWS.,1.0799999999999998,1.0799999999999998,5.4,1.0799999999999998,1.0799999999999998,1.0799999999999998,5.4,1.0799999999999998,1.0799999999999998,1.0799999999999998,1.0799999999999998,1.0799999999999998,1.0799999999999998,1.0799999999999998,1.0799999999999998
"Now, this is going to be primarily a Department of Defense study, because that's who would pay for the study, but we will see if we can extrapolate for the rest of the Federal Government as well, and we will invite comment from interested parties with regard to what the study parameters are going to be when we get that far.",3.758399999999999,3.758399999999999,18.792,3.758399999999999,3.758399999999999,3.758399999999999,3.758399999999999,3.758399999999999,3.758399999999999,93.96000000000001,3.758399999999999,33.82559999999999,3.758399999999999,3.758399999999999,18.792
It's not going to be quick.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"It probably will take a couple of months to draft it up, but I'm happy to share it with this group and certainly with OPM, which will be an interested party.",3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,29.0,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223
I think the percentage of the Federal Wage System workforce employed by DoD and its components is still around 72 percent.,0.06957473684210526,0.06957473684210526,0.2332799999999999,0.06957473684210526,0.06957473684210526,0.2332799999999999,0.2332799999999999,0.2332799999999999,0.06957473684210526,11.016000000000002,0.06957473684210526,0.44063999999999987,0.06957473684210526,0.06957473684210526,5.832000000000001
Right.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
There are other agencies that employ FWS workers.,1.0799999999999998,1.0799999999999998,5.4,1.0799999999999998,1.0799999999999998,1.0799999999999998,5.4,1.0799999999999998,1.0799999999999998,1.0799999999999998,1.0799999999999998,1.0799999999999998,1.0799999999999998,1.0799999999999998,1.0799999999999998
VA is one of the major employers.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"The Department of Justice, Bureau of Prisons is another one.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Well, thank you, Seth.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I'm sure that's going to be interesting and useful information for all of us.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Any questions about that?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
And I just want to note for the record that the Air Force is in the house.,2.4857142857142858,2.4857142857142858,2.4857142857142858,261.0,2.4857142857142858,2.4857142857142858,2.4857142857142858,2.4857142857142858,10.440000000000001,2.4857142857142858,2.4857142857142858,2.4857142857142858,2.4857142857142858,2.4857142857142858,2.4857142857142858
"Would you introduce yourself for the recorder, please?",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darlene Freeman.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
So people have the transcript of the last meeting?,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,29.0,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223
Are there any other changes beyond those that people have already told Madeline about?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"If not, is there any objection to adopting the transcript of that meeting?",3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,29.0,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223
"Hearing no objection, the transcript is adopted.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thank you.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
We have a number of Old Business Items.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Most of them, we have moved over to our working group, but if there's any on that list, A through G, that anyone wants to talk about right now, we can certainly do that.",10.382716049382717,10.382716049382717,10.382716049382717,10.382716049382717,10.382716049382717,10.382716049382717,93.44444444444444,10.382716049382717,93.44444444444444,10.382716049382717,10.382716049382717,10.382716049382717,10.382716049382717,10.382716049382717,10.382716049382717
Are there any people who have a burning desire to address them here today?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I have a question; I guess it really has to do with something you raised in the opening announcements.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Are you aware of whether the Director has had an opportunity to read some of the letters or any of the letters from the Tobyhanna employees?,3.2222222222222223,3.2222222222222223,29.0,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223
"I know that his Deputy Chief of Staff, Justin Johnson, has read quite a few of them and told me that he was picking out some for the Director to read.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Whether the Director actually read -- I think the answer is yes, but I don't know of my own knowledge, but we can find out.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Do you know, Jerry?",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"I believe what you just described is accurate, but I don't know specifically.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"So you do think that in some formal way, at least a sampling of the letters was transmitted to the Director?",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Obviously, we can't tell whether he's ever actually read them.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I think they were summarized.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
But they were put in front of him?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A summary of them.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"A summary, okay.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
So I don't know specifically if he had the actual letters.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
And how about letters like the one from Colonel Ross?,10.382716049382717,10.382716049382717,10.382716049382717,841.0,10.382716049382717,10.382716049382717,10.382716049382717,10.382716049382717,10.382716049382717,10.382716049382717,10.382716049382717,10.382716049382717,10.382716049382717,10.382716049382717,10.382716049382717
Are those transmitted to the Director?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I don't know specifically whether that one would have been.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"I mean, it came in to me, so --",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yeah.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Probably, he would not have seen that one.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"The Director has signed a number of letters that are similar to this one, so, yes, he has seen similar letters to this, but I'm pretty sure he would not have signed off on the letter to Colonel Ross on this subject himself.",11.213333333333333,11.213333333333333,56.06666666666668,908.2799999999999,11.213333333333333,11.213333333333333,11.213333333333333,11.213333333333333,11.213333333333333,11.213333333333333,11.213333333333333,56.06666666666668,11.213333333333333,11.213333333333333,11.213333333333333
Can we formally ask that letters such as this be transmitted to the Director?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I don't see why not.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Okay.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Easy to do.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anything else on any of these Old Business Items?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"If not, why don't we move to New Business.",1.0799999999999998,1.0799999999999998,1.0799999999999998,5.4,1.0799999999999998,1.0799999999999998,1.0799999999999998,1.0799999999999998,1.0799999999999998,1.0799999999999998,1.0799999999999998,5.4,1.0799999999999998,1.0799999999999998,1.0799999999999998
"I would suggest we flip the order and start with Item (b), 576-MGT-1, definition of Cape Girardeau-Jackson, MO-IL Metropolitan Statistical Area and Perry County, MO.",0.006026686273962194,0.006026686273962194,0.03722365051564883,0.006026686273962194,0.006026686273962194,0.0999161145420048,0.019983222908400957,0.019983222908400957,0.006026686273962194,0.006026686273962194,1.4805170188376096,0.18611825257824421,1.4805170188376096,1.4805170188376096,0.006026686273962194
"Mark, would you please summarize that one for us?",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Yes, Mr. Chairman.",1.0799999999999998,1.0799999999999998,1.0799999999999998,5.4,1.0799999999999998,1.0799999999999998,1.0799999999999998,1.0799999999999998,5.4,1.0799999999999998,1.0799999999999998,1.0799999999999998,1.0799999999999998,1.0799999999999998,1.0799999999999998
This is another in our line of reviews of counties throughout the United States that are part of Metropolitan Statistical Areas and the Metropolitan Statistical Areas are split by wage area boundaries.,0.00016982546753351187,0.00016982546753351187,0.0035169737826576757,0.00016982546753351187,0.00016982546753351187,0.0018880596096372787,0.0018880596096372787,0.0018880596096372787,0.00016982546753351187,0.0010755612943789085,0.1752213124494526,0.00664317270057561,0.1752213124494526,0.1752213124494526,0.000569414802906481
"Under OPM's regulations, unless there's some unusual circumstance, an MSA is not supposed to be split.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"The Management members have taken a look at the Cape Girardeau-Jackson, MO-IL MSA, and based on our review of it, we recommend that Bollinger and Cape Girardeau Counties be redefined to the St. Louis area of application.",0.011930698205208012,0.011930698205208012,0.07368960656157889,0.011930698205208012,0.04601840736294518,0.03955968352253182,0.03955968352253182,0.15258735072976556,0.011930698205208012,0.011930698205208012,0.03955968352253182,0.28423133959466135,0.03955968352253182,0.03955968352253182,0.04601840736294518
"We provided the usual background information in the package, nine employees of the Department of the Army represented by ACT would be moved from the Southern Missouri Wage Area to the St. Louis Wage Area under this proposal.",1.0326511326594783e-05,1.0326511326594783e-05,0.039859216635972514,4.337134757169808e-05,1.0326511326594783e-05,0.001276378239090976,0.001276378239090976,0.001276378239090976,1.0326511326594783e-05,0.00041420784321119064,0.00011353441400347557,0.06636641584738469,0.00011353441400347557,0.00011353441400347557,0.00048758999398078556
Any discussion or questions?,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,29.0,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223
"Mr. Chairman, we'd like to caucus.",1.0799999999999998,1.0799999999999998,1.0799999999999998,5.4,1.0799999999999998,1.0799999999999998,1.0799999999999998,1.0799999999999998,5.4,1.0799999999999998,1.0799999999999998,1.0799999999999998,1.0799999999999998,1.0799999999999998,1.0799999999999998
Of course.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
We have the Small Pendleton Room available for caucuses today.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"The Labor folks have returned from their caucus, and we're back in session.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
We were discussing 576-MGT-1.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Any discussion?,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,29.0,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223
"Mr. Chairman, I think we are pretty much in agreement on that one.",1.0799999999999998,1.0799999999999998,1.0799999999999998,5.4,1.0799999999999998,1.0799999999999998,1.0799999999999998,1.0799999999999998,5.4,1.0799999999999998,1.0799999999999998,1.0799999999999998,1.0799999999999998,1.0799999999999998,1.0799999999999998
We also wanted to know if you were planning to bring back any of these on the old business.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Do you mean today?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
We could if you want to.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"I actually believe number (g), 575-MGT-2, Youngstown-Warren-Boardman, that we are pretty much in agreement and consensus on that one too.",3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,29.0,3.2222222222222223
"Well, I think we have to do them one at a time.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Were there others?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Well, we would also -- if the Hickory- Lenoir-Morgantown -- as the resident North Carolinian on this group, I probably know more about that area there.",0.13538748832866482,0.13538748832866482,0.8362168396770473,0.13538748832866482,0.13538748832866482,0.44891640866873067,0.44891640866873067,0.44891640866873067,1.2184873949579833,0.13538748832866482,0.44891640866873067,0.8362168396770473,0.44891640866873067,0.44891640866873067,0.13538748832866482
"I think we may be in some disagreement as to how that one is proposed, but we'd like to at least have some conversation.",3.2222222222222223,3.2222222222222223,3.2222222222222223,29.0,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223,3.2222222222222223
"I believe it's proposed to move two counties from the Charlotte wage area to the Asheville wage area, but, in reality, we believe the entire MSA would fit more appropriately in the Charlotte area.",2.6392300753568815e-07,2.6392300753568815e-07,0.0006991176286228325,2.6392300753568815e-07,2.6392300753568815e-07,0.00010816579974275828,0.00010816579974275828,0.00010816579974275828,2.6392300753568815e-07,1.0586245080042603e-05,9.621396160559295e-06,0.0024943826502715877,9.621396160559295e-06,9.621396160559295e-06,2.9670790708769917e-06
"Reading the write-up, distance was not an issue.",1.9333333333333331,1.9333333333333331,1.9333333333333331,1.9333333333333331,1.9333333333333331,1.9333333333333331,1.9333333333333331,1.9333333333333331,48.33333333333335,1.9333333333333331,1.9333333333333331,1.9333333333333331,1.9333333333333331,1.9333333333333331,1.9333333333333331
"The commutes were the same, things of that nature.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"There was not a lot of statistical significance in it, even geographically.",0.5102040816326531,0.5102040816326531,0.5102040816326531,0.5102040816326531,0.5102040816326531,0.5102040816326531,0.5102040816326531,0.5102040816326531,0.5102040816326531,0.5102040816326531,2.142857142857143,0.5102040816326531,2.142857142857143,2.142857142857143,0.5102040816326531
"And I personally know the way the Interstates run in that area, there are tons of people in those counties that work in Charlotte every day, and many of them go to Salisbury to the VA Medical Center to work every day.",0.4362485735034755,0.4362485735034755,2.694476483403819,0.4362485735034755,0.4362485735034755,1.4465084279325766,1.4465084279325766,1.4465084279325766,35.33613445378152,0.4362485735034755,1.4465084279325766,2.694476483403819,1.4465084279325766,1.4465084279325766,0.4362485735034755
"Well, I'll tell you what, I think we do need to do them one at a time.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
That's fine.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
